source,task,routing_mode,ast_index,command,target,raw_command,success,duration_seconds,output_chars,search_result_role,information_gained,reason_for_call,next_action,classification,classification_label,hindsight_assessment
phase7e-r6,level3-007,semantic,7,find,--type function_definition,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order"" && ast-tool find --type function_definition src/service/order_service.cpp 2>&1",True,10.766,161,,"2 AST node line(s); CC0A1510 function_definition @9:1 ""OrderService::OrderService(InventoryServ...""",context-fetch overhead,Read,E,context-fetch overhead,reasonable structural location step; editable source still required a Read
phase7e-r8,level3-007,semantic,1,search,--name process,"ast-tool search --name process ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order"" 2>&1 | head -30",True,9.961,143,declaration-only,1 symbol result(s); Method service::CheckoutService::process D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order\src\service\checkout_service.h:14:5,necessary semantic query,ast-tool:search --name submit,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
phase7e-r8,level3-007,semantic,2,search,--name submit,"ast-tool search --name submit ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order"" 2>&1 | head -30",True,13.281,136,declaration-only,1 symbol result(s); Method service::OrderService::submit D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order\src\service\order_service.h:18:5,necessary semantic query,ast-tool:search --name-regex,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
phase7e-r8,level3-007,semantic,3,search,--name-regex,"ast-tool search --name-regex ""handle|checkout"" ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order"" 2>&1 | head -30",True,16.384,1606,declaration-and-definition,12 symbol result(s); Function checkout_svc D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order\src\main.cpp:26:5,necessary semantic query,Read,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
phase7e-r8,level3-007,semantic,4,find,--type function_definition,"ast-tool find --type function_definition ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order\src\service\checkout_service.h"" 2>&1",True,4.022,31,,1 AST node line(s); (Bash completed with no output),necessary semantic query,ast-tool:find --type function_definition,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
phase7e-r8,level3-007,semantic,5,find,--type function_definition,"ast-tool find --type function_definition ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order\src\service\order_service.h"" 2>&1",True,7.845,31,,1 AST node line(s); (Bash completed with no output),context-fetch overhead,Read,E,context-fetch overhead,reasonable structural location step; editable source still required a Read
phase7e-r10,level3-007,semantic,1,search,--name checkout,"ast-tool search --name checkout ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order"" 2>&1 | head -40",True,10.058,31,no-role-evidence,1 symbol result(s); (Bash completed with no output),identity / resolution overhead,ast-tool:search --name process,B,identity / resolution overhead,unproductive identity probe; it returned no symbol information
phase7e-r10,level3-007,semantic,2,search,--name process,"ast-tool search --name process ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order"" 2>&1 | head -40",True,13.619,143,declaration-only,1 symbol result(s); Method service::CheckoutService::process D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order\src\service\checkout_service.h:14:5,necessary semantic query,ast-tool:search --name submit,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
phase7e-r10,level3-007,semantic,3,search,--name submit,"ast-tool search --name submit ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order"" 2>&1 | head -40",True,17.492,136,declaration-only,1 symbol result(s); Method service::OrderService::submit D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order\src\service\order_service.h:18:5,necessary semantic query,ast-tool:search --name handle,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
phase7e-r10,level3-007,semantic,4,search,--name handle,"ast-tool search --name handle ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order"" 2>&1 && ast-tool search --kind function ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order"" 2>&1 | grep -i ""web\|handler\|checkout""",True,4.723,2084,declaration-and-definition,15 symbol result(s); Method web::AdminOrderHandler::handle D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order\src\web\admin_order_handler.h:13:5,necessary semantic query,Read,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
phase7e-r10,level3-007,semantic,5,search,--name submit,"ast-tool search --name submit ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order"" --kind function 2>&1",True,4.138,31,no-role-evidence,1 symbol result(s); (Bash completed with no output),identity / resolution overhead,Glob,B,identity / resolution overhead,unproductive identity probe; it returned no symbol information
